country,priority1,priority1Response,priority2,priority2Response,priority3,priority3Response,priority4,priority4Response,priority5,priority5Response,priority6,priority6Response
 France,100,4629,103,2869,105,2979,109,2248,113,2259,114,3598
 Gabon,101,759,104,762,105,698,106,562,107,403,115,1055
 Gambia,103,54,104,85,105,80,109,41,113,46,115,121
 Georgia,102,802,105,991,105,887,111,617,113,681,115,2010
 Germany,100,2509,105,1602,105,1588,109,1076,113,1260,114,1711
 Ghana,101,15453,104,20543,105,21168,109,12677,111,12918,115,46702
 Greece,100,390,104,399,105,390,106,271,111,288,115,635
 Grenada,100,15,104,13,105,12,109,7,114,11,115,32
 Guatemala,100,412,105,581,105,521,109,402,111,491,115,1071
 Guinea,100,65,104,65,105,79,106,44,111,48,115,98
 Guinea-Bissau,103,10,104,11,105,11,106,11,109,8,115,8
 Guyana,100,56,104,58,106,51,111,43,113,47,115,105
 Haiti,101,1544,104,1718,105,1905,105,1036,109,1034,115,3014
 Honduras,100,187,105,290,105,270,106,176,111,289,115,458
 Hungary,100,498,104,322,105,337,109,233,111,234,115,521
 Iceland,100,87,105,73,106,69,109,56,113,65,114,131
